Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
araC	b0064	70387	71265	ECK0065	DNA-binding transcriptional dual regulator AraC	araC // b0064 // ECK0065	EG10054	ygeA // araE // araH // araG // araF // araJ // araC // araD // araA // araB	b2840 // b2841 // b4460 // b1900 // b1901 // b0396 // b0064 // b0061 // b0062 // b0063	yjfF // ytfT // ytfR // ytfQ // ydeM // ydeN // xylB // xylA // araC // araD // araA // araB	b4231 // b4230 // b4485 // b4227 // b1497 // b1498 // b3564 // b3565 // b0064 // b0061 // b0062 // b0063	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // arabinose catabolic process	protein-DNA complex // cytoplasm // cytosol	DNA-binding transcription repressor activity // transcription cis-regulatory region binding // identical protein binding // protein binding // sequence-specific DNA binding // DNA-binding transcription factor activity // DNA binding	araC
allW	b0511	537633	539087	ECK0504	allantoin transporter	allW // allP // glxB2 // ybbW // b0511 // ECK0504	G6280					nitrogen compound transport // purine nucleobase metabolic process // nucleobase transport // allantoin transport // transmembrane transport	membrane // plasma membrane	symporter activity // nucleobase transmembrane transporter activity // transmembrane transporter activity	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
yaiI	b0387	405764	406222	ECK0382	DUF188 domain-containing protein YaiI	yaiI // b0387 // ECK0382	G6230						cytosol	protein binding	yaiI
cirA	b2155	2244778	2246769	ECK2148	Fe-catecholate outer membrane transporter CirA	cirA // cir // feuA // b2155 // ECK2148	EG10155					iron ion transport // intracellular iron ion homeostasis // siderophore-dependent iron import into cell // bacteriocin transport // monoatomic ion transport // siderophore transmembrane transport	transmembrane transporter complex // membrane // cell outer membrane	siderophore uptake transmembrane transporter activity // siderophore-iron transmembrane transporter activity // colicin transmembrane transporter activity // signaling receptor activity	cirA // cirA
mhpA	b0347	368611	370275	ECK0344	3-(3-hydroxyphenyl)propanoate hydroxylase	mhpA // b0347 // ECK0344	M010					catabolic process // 3-phenylpropionate catabolic process // 3-(3-hydroxy)phenylpropionate catabolic process	cytosol	oxidoreductase activity // identical protein binding // FAD binding // 3-(3-hydroxyphenyl)propionate hydroxylase activity	mhpABCDFE
sibB	b4437	2153646	2153781	ECK2069	small RNA SibB	sibB // QUAD1b // tpe60 // ryeD // b4437 // ECK2069	G0-8885					regulatory ncRNA-mediated post-transcriptional gene silencing			sibB
dacA	b0632	662752	663963	ECK0625	D-alanyl-D-alanine carboxypeptidase DacA	dacA // pfv // b0632 // ECK0625	EG10201					cell wall organization // peptidoglycan biosynthetic process // proteolysis // peptidoglycan metabolic process // cell division // regulation of cell shape	outer membrane-bounded periplasmic space // plasma membrane	peptidase activity // protein binding // protein homodimerization activity // beta-lactamase activity // penicillin binding // carboxypeptidase activity // serine-type D-Ala-D-Ala carboxypeptidase activity	dacA
yciY	b4595	1308788	1308961	ECK4405	uncharacterized protein YciY	yciY // b4595 // ECK4405	G0-8891								yciY
parC	b3019	3163715	3165973	ECK3010	DNA topoisomerase IV subunit A	parC // b3019 // ECK3010	EG10686					chromosome organization // plasmid partitioning // sister chromatid cohesion // chromosome segregation // DNA topological change	plasma membrane // chromosome // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex // extrinsic component of plasma membrane // cytoplasm // cytosol	ATP binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity // protein binding // DNA topoisomerase activity // DNA binding	parC
alsR	b4089	4312101	4312991	ECK4082	DNA-binding transcriptional repressor AlsR	alsR // yjcY // rpiR // b4089 // ECK4082	G7821			alsE // alsC // alsA // alsB // alsR // rpiB	b4085 // b4086 // b4087 // b4088 // b4089 // b4090	carbohydrate derivative metabolic process // regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol	carbohydrate derivative binding // DNA-binding transcription factor activity // DNA binding	alsRBACE // alsRBACE
yhdY	b3270	3421325	3422428	ECK3257	putative ABC transporter membrane subunit YhdY	yhdY // b3270 // ECK3257	EG12836					nitrogen compound transport // peptide transport // transmembrane transport // amino acid transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity	yhdWXYZ
ytiE	b4823	4568692	4568727	ECK4680	protein YtiE	ytiE // b4823 // ECK4680	G0-17097								
dxr	b0173	193521	194717	ECK0172	1-deoxy-D-xylulose 5-phosphate reductoisomerase	dxr // yaeM // ispC // b0173 // ECK0172	EG12715					isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process // isoprenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	Dxr protein complex // plasma membrane // cytosol	oxidoreductase activity // NADPH binding // metal ion binding // identical protein binding // manganese ion binding // 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity	dxr-uppS-cdsA
cbrC	b3717	3898022	3898609	ECK3710	PF03691 family colicin E2 tolerance protein CbrC	cbrC // yieJ // b3717 // ECK3710	EG11727					bacteriocin immunity	cytosol		cbrBC // cbrC
hcaC	b2540	2670908	2671228	ECK2537	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit	hcaC // yfhW // hcaa3 // phdB // b2540 // ECK2537	G7334					catabolic process // 3-phenylpropionate catabolic process	3-phenylpropionate dioxygenase complex	3-phenylpropionate dioxygenase activity // iron-sulfur cluster binding // metal ion binding // 2 iron, 2 sulfur cluster binding	hcaEFCBD
cyaR	b4438	2167114	2167200	ECK2078	small regulatory RNA CyaR	cyaR // ryeE // b4438 // ECK2078	G0-8878					regulatory ncRNA-mediated post-transcriptional gene silencing		regulatory RNA binding // mRNA binding // mRNA 5'-UTR binding // protein binding	cyaR // cyaR // cyaR
murB	b3972	4172057	4173085	ECK3964	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	murB // yijB // b3972 // ECK3964	EG11205					cell wall organization // cell division // regulation of cell shape // peptidoglycan biosynthetic process	cytoplasm // cytosol	FAD binding // oxidoreductase activity // flavin adenine dinucleotide binding // UDP-N-acetylmuramate dehydrogenase activity	murB-birA
ispE	b1208	1262026	1262877	ECK1196	4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase	ispE // ipk // ychB // b1208 // ECK1196	EG11294					phosphorylation // terpenoid biosynthetic process // isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // isoprenoid biosynthetic process	cytosol	protein binding // kinase activity // ATP binding // 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity	lolB-ispE-prs
naRNA5		4325905	4325981		naRNA5	naRNA5	G0-16698								
tus	b1610	1684259	1685188	ECK1605	DNA replication terminus site-binding protein	tus // tau // b1610 // ECK1605	EG11038					DNA replication // replication fork arrest involved in DNA replication termination // DNA replication termination	cytoplasm // cytosol	DNA binding // sequence-specific DNA binding	tus
paaF	b1393	1457497	1458264	ECK1390	putative 2,3-dehydroadipyl-CoA hydratase	paaF // ydbR // ydbS // b1393 // ECK1390	G6714					fatty acid beta-oxidation // fatty acid metabolic process // phenylacetate catabolic process	catalytic complex // cytosol // plasma membrane	lyase activity // catalytic activity // identical protein binding // protein binding // enoyl-CoA hydratase activity	paaABCDEFGHIJK
dppB	b3543	3704771	3705790	ECK3530	dipeptide ABC transporter membrane subunit DppB	dppB // b3543 // ECK3530	EG12625					dipeptide transport // heme transmembrane transport // transmembrane transport // peptide transport // protein transport // dipeptide transmembrane transport // heme transport	membrane // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // plasma membrane	dipeptide transmembrane transporter activity	dppBCDF // dppABCDF
nc1		297137	297304		small noncoding RNA involved in nucleoid organization	nc1	G0-10738					nucleoid organization	bacterial nucleoid	protein binding	
ispA	b0421	440202	441101	ECK0415	geranyl diphosphate/farnesyl diphosphate synthase	ispA // b0421 // ECK0415	EG10508					isoprenoid biosynthetic process // geranyl diphosphate biosynthetic process // farnesyl diphosphate biosynthetic process	cytoplasm // cytosol	prenyltransferase activity // protein binding // transferase activity // metal ion binding // geranyltranstransferase activity // dimethylallyltranstransferase activity	xseB-ispA-dxs-yajO
yfjZ	b2645	2777115	2777432	ECK2642	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	yfjZ // lfgD // b2645 // ECK2642	G7380					positive regulation of cytoskeleton organization	cytosol		lfgABCDE
prpB	b0331	348682	349572	ECK0329	2-methylisocitrate lyase	prpB // yahQ // b0331 // ECK0329	G6196					propionate catabolic process, 2-methylcitrate cycle	cytosol	oxo-acid-lyase activity // metal ion binding // lyase activity // magnesium ion binding // methylisocitrate lyase activity	prpBCDE
omrA	b4444	2976102	2976189	ECK2833	small regulatory RNA OmrA	omrA // psrA12 // rygA // PAIR2a // t59 // sraE // b4444 // ECK2833	G0-8868					negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding	omrA
murG	b0090	99644	100711	ECK0091	N-acetylglucosaminyl transferase	murG // b0090 // ECK0091	EG10623					carbohydrate derivative biosynthetic process // carbohydrate metabolic process // cell wall organization // lipid glycosylation // cell division // regulation of cell shape // peptidoglycan biosynthetic process	plasma membrane	hexosyltransferase activity // glycosyltransferase activity // UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity // protein binding // undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ubiT	b3157	3300752	3301276	ECK3145	anaerobic ubiquinone biosynthesis accessory factor UbiT	ubiT // yhbT // b3157 // ECK3145	G7651					ubiquinone biosynthetic process // ubiquinone biosynthetic process from chorismate	cytosol		ubiT-yhbS // ubiT-yhbS
ydgU	b4601	1671777	1671860	ECK4410	uncharacterized protein YdgU	ydgU // b4601 // ECK4410	G0-10593						plasma membrane		
gyrA	b2231	2336793	2339420	ECK2223	DNA gyrase subunit A	gyrA // hisW // nalA // nfxA // norA // parD // b2231 // ECK2223	EG10423					chromosome organization // response to xenobiotic stimulus // negative regulation of DNA-templated DNA replication // DNA-templated DNA replication // DNA topological change // response to antibiotic // DNA-templated transcription	membrane // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex // chromosome // cytoplasm // cytosol	DNA negative supercoiling activity // DNA topoisomerase activity // identical protein binding // protein binding // ATP-dependent activity, acting on DNA // ATP binding // DNA binding // DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	gyrA
xapB	b2406	2522729	2523985	ECK2400	xanthosine:H+ symporter XapB	xapB // b2406 // ECK2400	EG13159					transmembrane transport // uridine transmembrane transport // cytidine transport // nucleoside transmembrane transport // xanthosine transport // nucleoside transport // nucleobase-containing small molecule metabolic process	membrane // plasma membrane	symporter activity // uridine transmembrane transporter activity // cytidine transmembrane transporter activity // nucleoside transmembrane transporter activity // xanthosine transmembrane transporter activity	xapAB // xapB // xapB // xapB // xapAB
yjfF	b4231	4453583	4454578	ECK4226	galactofuranose ABC transporter putative membrane subunit YjtF	yjfF // b4231 // ECK4226	EG12439					hexose import across plasma membrane // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity // primary active transmembrane transporter activity	ytfQRT-yjfF
yggN	b2958	3100904	3101623	ECK2953	DUF2884 domain-containing protein YggN	yggN // ecfF // b2958 // ECK2953	EG12705					single-species biofilm formation			yggN // yggN // yggN
ispD	b2747	2871780	2872490	ECK2742	2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD // ygbP // b2747 // ECK2742	G7423					isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway // isoprenoid biosynthetic process	cytosol	nucleotidyltransferase activity // identical protein binding // magnesium ion binding // 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	ispDF
yfjI	b2625	2758985	2760394	ECK2621	CP4-57 prophage; DUF3987 domain-containing protein YfjI	yfjI // b2625 // ECK2621	G7360						cytosol		yfjI
gpmM	b3612	3785260	3786804	ECK3602	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	gpmM // gpmC // pgmI // gpmI // yibO // b3612 // ECK3602	EG12296					carbohydrate metabolic process // glucose catabolic process // glycolytic process // response to oxidative stress	cytoplasm // cytosol	metal ion binding // isomerase activity // phosphoglycerate mutase activity // 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity // manganese ion binding	gpmM-envC-yibQ // gpmM-envC-yibQ
rprA	b4431	1770372	1770477	ECK1686	small regulatory RNA RprA	rprA // psrA5 // IS083 // b4431 // ECK1686	G0-8863					negative regulation of bacterial-type flagellum-dependent cell motility // stress response to acid chemical // sRNA-mediated post-transcriptional gene silencing // positive regulation of translation, ncRNA-mediated		transcription antitermination factor activity, RNA binding // protein binding // mRNA binding // mRNA 5'-UTR binding	rprA
mepK	b0926	983075	983623	ECK0917	peptidoglycan L,D-endopeptidase	mepK // ycbK // b0926 // ECK0917	G6474					peptidoglycan turnover	outer membrane-bounded periplasmic space	endopeptidase activity // metalloendopeptidase activity	mepK-gloC
ubiC	b4039	4252506	4253003	ECK4031	chorismate lyase	ubiC // b4039 // ECK4031	EG11369					pyruvate biosynthetic process // ubiquinone biosynthetic process	cytoplasm // cytosol	protein binding // lyase activity // chorismate lyase activity	ubiCA
yiaV	b3586	3752963	3754099	ECK3575	putative membrane fusion protein YiaV	yiaV // b3586 // ECK3575	EG12290					transmembrane transport	plasma membrane		yiaWV
rdgC	b0393	409108	410019	ECK0388	nucleoid-associated protein RdgC	rdgC // yaiD // b0393 // ECK0388	EG12158					DNA recombination // regulation of DNA recombination	nucleoid // cytoplasm // cytosol // bacterial nucleoid	double-stranded DNA binding // single-stranded DNA binding	rdgC
setB	b2170	2263863	2265044	ECK2163	sugar exporter SetB	setB // yeiO // b2170 // ECK2163	EG12034					D-glucose transmembrane transport // proton transmembrane transport // cellular response to glucose-phosphate stress // carbohydrate transport // transmembrane transport // lactose transport // chromosome segregation // carbohydrate transmembrane transport	membrane // plasma membrane	carbohydrate:proton symporter activity	setB
